GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo,CassandraConfig,0,3,0,0,0,1,0,1,0,1
demo,com.example.demo,SimpleMongoConfig,0,3,0,0,0,1,0,1,0,1
demo,com.example.demo,Config,0,27,0,0,0,8,0,4,0,4
demo,com.example.demo,DemoApplication,14,3,0,0,3,1,2,1,2,1
demo,com.example.demo,AppReady,0,7,0,0,0,3,0,2,0,2
demo,com.example.demo,AuthManager,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo,DemoController,10,25,0,0,2,8,2,5,2,5
demo,com.example.demo,SecurityConfig,0,31,0,0,0,6,0,2,0,2
demo,com.example.demo,InstantiationTracingBeanPostProcessor,0,7,0,0,0,3,0,3,0,3
demo,com.example.demo,BasicAuthFilter,26,4,0,0,8,2,1,1,1,1
demo,com.example.demo,ConfigImport,0,13,0,0,0,4,0,2,0,2
demo,com.example.demo,ControllerExceptionHandler,37,3,2,0,6,1,2,1,1,1
demo,com.example.demo,Receiver,0,3,0,0,0,1,0,1,0,1
demo,com.example.demo,Sample,3,0,0,0,1,0,1,0,1,0
